name,season,total_obs,nrmse,rmse,mse,wape,smape,mase,nse,pearson,total_ratio,peak_week_err,xcorr_lag,cov_95,calib_err
1702109,2024-2025,2299.0,0.9102,40.2423,1619.4415,0.7595,129.9753,1.9372,-1.165,0.697,0.2405,-8.0,-3.0,0.6923,0.2731
3300209,2024-2025,1026.0,0.9102,17.9596,322.5484,0.7075,118.7217,1.5409,-0.6062,0.3272,0.469,2.0,4.0,0.6538,0.2202
3534609,2024-2025,2480.0,0.9126,43.5226,1894.2158,0.6703,134.768,1.3507,0.0676,0.8087,0.3416,3.0,2.0,0.5577,0.3981
4114807,2024-2025,1120.0,0.9147,19.7003,388.1024,0.588,135.8646,1.5092,0.4676,0.9226,0.4285,-1.0,0.0,0.5385,0.3596
2914604,2024-2025,1102.0,0.9155,19.4024,376.4548,0.7237,130.9851,1.4984,-0.5387,0.4718,0.3642,6.0,4.0,0.75,0.1913
5003207,2023-2024,1603.0,0.9193,28.3395,803.1257,0.7177,126.0022,1.8228,-0.5506,0.642,0.2942,4.0,4.0,0.7885,0.1625
3530706,2022-2023,3312.0,0.9259,58.9699,3477.4476,0.4818,123.4757,1.735,0.6128,0.9209,0.5589,-4.0,-2.0,0.6154,0.2106
5201108,2024-2025,10859.0,0.927,193.5928,37478.1754,0.7169,121.5052,2.6827,-0.2976,0.9211,0.2831,-3.0,0.0,0.9231,0.0577
3306305,2024-2025,2413.0,0.9313,43.2159,1867.6113,0.7131,120.7823,1.9375,-0.0651,0.524,0.7866,3.0,6.0,0.8846,0.0423
3544251,2024-2025,1297.0,0.9359,23.344,544.9439,0.5976,126.4796,1.5172,0.2793,0.8317,0.4245,-5.0,-2.0,0.6346,0.2442
1200203,2022-2023,3788.0,0.939,68.3996,4678.5083,0.7541,121.0166,1.7733,-1.238,0.4189,0.2573,10.0,6.0,0.9423,0.0442
3304201,2024-2025,2822.0,0.9393,50.9731,2598.2592,0.8066,146.6668,2.4371,-1.5154,0.6446,0.1934,5.0,2.0,0.7115,0.2202
2616407,2023-2024,1166.0,0.9396,21.0697,443.9316,0.7392,122.8073,1.2711,-0.5338,0.6124,0.2983,3.0,2.0,0.6538,0.2587
3510807,2024-2025,1053.0,0.9409,19.0526,362.9997,0.6482,139.0997,1.3496,0.1252,0.7196,0.3915,5.0,1.0,0.4808,0.3692
3543907,2022-2023,2813.0,0.9448,51.1074,2611.966,0.5631,126.2016,1.4996,0.5048,0.9381,0.4626,-4.0,-1.0,0.6731,0.1817
5221858,2024-2025,6914.0,0.946,125.7801,15820.6214,0.835,149.889,2.1811,-2.3268,0.6033,0.165,7.0,0.0,0.6154,0.3788
3543402,2025-2026,2738.0,0.9474,199.5373,39815.1293,0.9047,165.4183,2.6222,-8.6317,0.5134,0.0953,1.0,0.0,1.0,0.0971
4126504,2024-2025,1474.0,0.9493,26.9091,724.0971,0.6194,131.9078,1.3926,0.4063,0.9234,0.3973,3.0,0.0,0.6538,0.3308
4316907,2024-2025,2091.0,0.9499,38.1987,1459.1392,0.8181,150.9714,2.4281,-1.8281,0.2337,0.3031,19.0,7.0,0.75,0.1913
3505708,2022-2023,1294.0,0.9513,23.6736,560.4406,0.579,127.6686,1.1083,0.4638,0.908,0.4575,0.0,-1.0,0.6731,0.1673
5201405,2025-2026,15049.0,0.9517,1101.6901,1213720.999,0.9046,165.3609,6.8928,-7.4585,0.8835,0.0954,2.0,0.0,0.0,0.7875
5212501,2025-2026,1524.0,0.9522,111.624,12459.9236,0.9185,169.5184,2.5688,-12.5363,0.2581,0.0815,1.0,1.0,0.6154,0.5567
5106422,2022-2023,1043.0,0.9527,19.1098,365.1844,0.7601,140.5944,1.6614,-0.6029,0.7367,0.2534,-3.0,0.0,0.4038,0.5135
3513504,2024-2025,1097.0,0.9531,20.1058,404.2441,0.6985,123.2717,1.497,0.0409,0.6825,0.4227,-6.0,-2.0,0.7692,0.1385
5008305,2023-2024,1701.0,0.9538,31.2018,973.5533,0.6265,110.0303,0.9176,0.0594,0.6103,0.4594,11.0,2.0,0.8269,0.0904
5212501,2024-2025,9148.0,0.9577,168.4853,28387.3062,0.8362,150.1867,2.842,-2.0277,0.6514,0.1638,9.0,4.0,0.7115,0.3212
2914802,2023-2024,4624.0,0.9585,85.2309,7264.298,0.7703,131.1496,2.1537,-0.9057,0.5771,0.2507,5.0,0.0,0.8269,0.1096
2516201,2024-2025,1183.0,0.9602,21.8454,477.2219,0.7543,142.5734,1.359,-0.9711,0.411,0.2728,7.0,6.0,0.5769,0.3788
5201405,2024-2025,76709.0,0.9609,1417.4955,2009293.4564,0.8686,158.2173,6.1905,-2.7525,0.9361,0.1314,1.0,0.0,0.5769,0.5327
3147907,2025-2026,1444.0,0.963,106.9717,11442.9515,0.9321,173.0322,4.0735,-16.3764,-0.1674,0.0679,3.0,9.0,0.6923,0.326
3168705,2024-2025,1358.0,0.968,25.2785,639.0051,0.711,120.2302,0.9141,-0.313,0.3403,0.4954,9.0,4.0,0.7885,0.1
3557105,2025-2026,1774.0,0.9688,132.2023,17477.4426,0.9294,170.7167,5.7649,-15.4939,-0.7462,0.0706,10.0,10.0,0.6154,0.4029
3301900,2022-2023,4244.0,0.9707,79.2238,6276.404,0.803,140.7704,2.374,-1.2977,0.4196,0.2254,-5.0,-3.0,0.6731,0.2635
3108602,2024-2025,1424.0,0.9733,26.6534,710.4016,0.6993,141.1463,1.3795,-0.4386,0.5024,0.3302,0.0,2.0,0.5385,0.3356
5205109,2022-2023,2543.0,0.9756,47.7126,2276.4951,0.7294,125.2722,1.6522,-0.2354,0.7538,0.3001,0.0,-1.0,0.7308,0.1337
5213103,2025-2026,2002.0,0.9758,150.2742,22582.3403,0.9535,181.9064,3.2998,-20.4222,0.208,0.0465,11.0,-4.0,0.0,0.7875
3511102,2025-2026,1195.0,0.9799,90.0709,8112.7637,0.9364,171.1857,3.7975,-12.6034,-0.5105,0.0636,12.0,9.0,1.0,0.151
3548500,2025-2026,3682.0,0.98,277.5598,77039.4687,0.9634,185.1136,4.6381,-31.4111,-0.3231,0.0366,3.0,3.0,0.2308,0.6529
4109401,2024-2025,4928.0,0.9806,92.9313,8636.2206,0.7647,130.9024,3.1696,-0.4803,0.7053,0.2533,3.0,4.0,0.4231,0.4606
3552403,2022-2023,3176.0,0.9815,59.9492,3593.9018,0.544,118.6866,1.517,0.5453,0.9482,0.4937,1.0,0.0,0.6923,0.1769
4208203,2025-2026,1038.0,0.9817,78.3813,6143.6284,0.962,184.9228,4.1518,-24.4866,0.03,0.038,9.0,7.0,0.5385,0.4798
3131307,2025-2026,2758.0,0.9818,208.2914,43385.2961,0.9357,173.0123,2.6645,-11.0259,-0.4004,0.0643,11.0,11.0,0.6923,0.4606
1505536,2022-2023,1832.0,0.9823,34.6087,1197.7598,0.7516,126.5845,1.5702,-0.683,0.5776,0.2643,6.0,3.0,0.7115,0.2394
2616407,2024-2025,1216.0,0.9848,23.0294,530.3543,0.7763,123.076,1.3965,-0.7521,0.3428,0.3077,-2.0,-6.0,0.6154,0.2923
3170206,2025-2026,20062.0,0.9872,1523.5407,2321176.3799,0.9834,193.6887,12.5598,-110.3955,0.7354,0.0166,0.0,0.0,0.0,0.7875
2910800,2024-2025,4183.0,0.9877,79.45,6312.2972,0.8367,138.3937,2.1738,-2.7773,-0.0675,0.1633,25.0,12.0,0.8846,0.0808
2931350,2025-2026,1376.0,0.9883,104.6069,10942.6122,0.9622,184.1388,3.1336,-19.7861,-0.3254,0.0378,3.0,3.0,0.1538,0.7298
3549805,2025-2026,27538.0,0.989,2095.0963,4389428.4553,0.9841,193.8723,9.7869,-90.918,0.5371,0.0159,3.0,1.0,0.2308,0.7106
1200203,2025-2026,1902.0,0.9909,144.9729,21017.1317,0.9379,176.1387,3.2161,-7.6973,0.6929,0.0621,2.0,0.0,0.6923,0.5567
3516200,2025-2026,2162.0,0.9934,165.215,27295.9842,0.9671,185.8067,3.4839,-20.7314,-0.5604,0.0329,6.0,8.0,0.3846,0.6144
3509502,2025-2026,18116.0,0.994,1385.1706,1918697.7237,0.9855,193.8552,9.9274,-64.0126,-0.6562,0.0145,3.0,-10.0,0.4615,0.5952
2709301,2023-2024,1919.0,0.9954,36.7337,1349.3673,0.8587,153.6083,1.9126,-2.0643,0.5485,0.1423,4.0,-1.0,0.5192,0.451
2914703,2022-2023,2091.0,0.996,40.0501,1604.007,0.7451,142.8826,2.0482,-0.1381,0.8612,0.2705,4.0,1.0,0.7692,0.2202
3527108,2023-2024,2686.0,0.9963,51.4651,2648.6576,0.7581,137.5797,1.7579,-0.4215,0.4233,0.3615,-5.0,-4.0,0.6154,0.3212
3506508,2025-2026,3284.0,0.9973,251.9325,63470.0044,0.9786,192.1354,4.8316,-23.5312,0.6344,0.0214,3.0,0.0,0.1538,0.749
2408003,2022-2023,2774.0,1.0019,53.4452,2856.394,0.8061,129.6926,1.6368,-1.374,0.3353,0.2091,24.0,-4.0,0.8077,0.2731
5201405,2022-2023,87307.0,1.002,1682.3922,2830443.4588,0.8828,154.7945,4.827,-3.1116,0.3221,0.1172,20.0,6.0,0.5,0.5038
3504107,2022-2023,2768.0,1.0022,53.3492,2846.138,0.8032,140.8219,1.933,-0.8159,0.6948,0.206,-5.0,-2.0,0.7308,0.201
3159605,2024-2025,4220.0,1.0024,81.3458,6617.1371,0.6517,129.5626,1.6723,0.2654,0.8991,0.3522,2.0,0.0,0.6731,0.2683
3531902,2022-2023,2080.0,1.0064,40.256,1620.5494,0.7425,142.973,1.7232,-0.3293,0.6627,0.2702,-6.0,0.0,0.6154,0.3163
3168002,2024-2025,1099.0,1.0073,21.2881,453.1839,0.7429,141.6572,1.5167,-0.5085,0.5779,0.2626,18.0,0.0,0.5,0.374
