name,season,total_obs,nrmse,rmse,mse,wape,smape,mase,nse,pearson,total_ratio,peak_week_err,xcorr_lag,cov_95,calib_err
3108255,2022-2023,2338.0,2.4907,111.9876,12541.2138,0.9816,177.6792,1.8389,-0.1786,-0.1041,0.0697,10.0,11.0,0.1346,0.6962
3537008,2023-2024,2160.0,2.5021,103.932,10801.8665,1.0271,186.8754,1.7378,-0.1775,-0.1162,0.0605,11.0,11.0,0.0769,0.7346
3536604,2023-2024,3730.0,2.5074,179.8568,32348.4743,1.006,195.0941,2.0815,-0.1416,0.2696,0.0585,4.0,6.0,0.0,0.7875
3300233,2023-2024,1665.0,2.5195,80.6722,6508.0088,1.0239,171.65,1.5326,-0.148,-0.0397,0.1332,9.0,10.0,0.2308,0.6048
3200409,2024-2025,1693.0,2.5243,82.1853,6754.4298,1.1065,169.5858,2.1666,-0.1756,-0.2626,0.1927,17.0,12.0,0.2885,0.5808
1300607,2022-2023,4519.0,2.5413,220.8517,48775.4539,1.0349,174.9552,3.7049,-0.18,-0.3019,0.0897,26.0,12.0,0.1538,0.6721
3126604,2023-2024,1407.0,2.5436,68.8245,4736.8179,1.0719,195.5169,1.7279,-0.1774,-0.1446,0.095,10.0,11.0,0.0192,0.7683
3204955,2024-2025,1494.0,2.5526,73.337,5378.3104,1.0865,193.736,2.1003,-0.1776,-0.1793,0.116,12.0,12.0,0.0192,0.7683
1100288,2023-2024,3535.0,2.5904,176.0966,31009.9972,0.95,169.1975,1.218,-0.1141,0.4002,0.0713,5.0,5.0,0.2885,0.5904
3162609,2023-2024,3108.0,2.5954,155.123,24063.1367,1.035,187.3912,2.4382,-0.1675,-0.1021,0.1112,8.0,9.0,0.0192,0.7827
3111309,2023-2024,3363.0,2.5973,167.9723,28214.7078,1.0141,194.4093,1.8707,-0.1369,0.1079,0.0684,4.0,5.0,0.0192,0.7683
3167608,2023-2024,3777.0,2.6227,190.5003,36290.3833,0.9516,174.9535,1.887,-0.1181,0.4239,0.0527,4.0,4.0,0.25,0.6
3200706,2024-2025,1709.0,2.6432,86.8682,7546.0803,1.1484,193.4564,1.8544,-0.1785,-0.2131,0.183,15.0,12.0,0.0577,0.7635
3131158,2023-2024,6651.0,2.6702,341.5307,116643.2493,0.9718,175.7074,1.4131,-0.1366,0.2863,0.0356,6.0,6.0,0.2692,0.6
3138658,2022-2023,4114.0,2.6712,211.3308,44660.7097,1.0266,190.963,2.5257,-0.1531,-0.1143,0.0543,11.0,11.0,0.0577,0.7346
3102001,2024-2025,1020.0,2.6989,52.9399,2802.6373,1.1469,189.4663,1.6532,-0.1087,0.0172,0.2853,6.0,7.0,0.0385,0.749
3200508,2024-2025,1616.0,2.7019,83.968,7050.6261,1.133,195.3081,1.6384,-0.1589,-0.1691,0.1695,11.0,12.0,0.0192,0.7779
2205706,2022-2023,1992.0,2.7054,103.6377,10740.7769,0.9435,183.3191,1.6881,-0.0547,0.8535,0.0639,-1.0,-1.0,0.0577,0.7442
3157104,2023-2024,1120.0,2.7149,58.4755,3419.3789,0.9001,179.2203,1.0747,-0.0896,0.1649,0.1254,7.0,7.0,0.0577,0.749
3511409,2024-2025,1194.0,2.7316,62.7228,3934.151,0.9347,185.7449,1.6685,0.0528,0.6055,0.1911,2.0,3.0,0.0385,0.7683
3200201,2024-2025,1581.0,2.7965,85.0232,7228.9408,1.1599,184.6008,1.8503,-0.1426,-0.1889,0.221,15.0,12.0,0.1538,0.6817
5001243,2023-2024,1919.0,2.803,103.4421,10700.2601,1.0421,183.1016,1.6102,-0.1322,-0.1261,0.1137,12.0,12.0,0.0769,0.725
3141405,2023-2024,1838.0,2.8939,102.2889,10463.0115,1.0399,186.6394,2.0027,-0.0326,0.2721,0.1727,3.0,4.0,0.0962,0.7298
3150109,2024-2025,1220.0,2.9514,69.2446,4794.8108,0.9781,162.138,1.3609,-0.1247,-0.1286,0.1186,18.0,12.0,0.2692,0.5856
